,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,80.0,3.0,0.0,0.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,24.0,1.0,79.0,3.0,0.0,0.0,5.0
1,80.0,3.0,0.0,0.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,24.0,1.0,79.0,3.0,0.0,0.0,5.0
2,80.0,3.0,110.0,1.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,24.0,1.0,79.0,3.0,0.0,0.0,4.0
3,80.0,3.0,110.0,1.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,145.0,2.0,79.0,3.0,0.0,0.0,5.0
4,80.0,3.0,110.0,1.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,1.0,4.0
5,80.0,3.0,110.0,1.0,56.0,4.0,168.0,2.0,69.0,4.0,53.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,1.0,5.0
6,80.0,3.0,110.0,1.0,56.0,4.0,168.0,2.0,69.0,4.0,163.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,1.0,5.0
7,80.0,3.0,110.0,1.0,177.0,2.0,168.0,2.0,69.0,4.0,163.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,2.0,1.0
8,80.0,3.0,110.0,1.0,177.0,2.0,168.0,2.0,184.0,3.0,163.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,2.0,5.0
9,80.0,3.0,110.0,1.0,177.0,2.0,168.0,2.0,184.0,3.0,163.0,1.0,179.0,3.0,139.0,3.0,145.0,2.0,79.0,3.0,0.012048192771084338,3.0,3.0
10,80.0,3.0,110.0,1.0,177.0,2.0,168.0,2.0,184.0,3.0,163.0,1.0,179.0,3.0,139.0,3.0,145.0,2.0,200.0,4.0,0.012048192771084338,3.0,5.0
11,203.0,1.0,110.0,1.0,177.0,2.0,168.0,2.0,184.0,3.0,163.0,1.0,179.0,3.0,139.0,3.0,145.0,2.0,200.0,4.0,0.024096385542168676,7.0,2.0
12,203.0,1.0,225.0,3.0,177.0,2.0,168.0,2.0,184.0,3.0,163.0,1.0,179.0,3.0,139.0,3.0,145.0,2.0,200.0,4.0,0.03614457831325301,8.0,4.0
13,203.0,1.0,225.0,3.0,177.0,2.0,168.0,2.0,184.0,3.0,163.0,1.0,179.0,3.0,235.0,3.0,145.0,2.0,200.0,4.0,0.04819277108433735,8.0,0.0
14,203.0,1.0,225.0,3.0,177.0,2.0,168.0,2.0,184.0,3.0,163.0,1.0,179.0,3.0,235.0,3.0,251.0,3.0,200.0,4.0,0.060240963855421686,9.0,0.0
15,203.0,1.0,225.0,3.0,177.0,2.0,168.0,2.0,184.0,3.0,273.0,1.0,179.0,3.0,235.0,3.0,251.0,3.0,200.0,4.0,0.07228915662650602,9.0,3.0
16,203.0,1.0,225.0,3.0,177.0,2.0,289.0,4.0,184.0,3.0,273.0,1.0,179.0,3.0,235.0,3.0,251.0,3.0,200.0,4.0,0.08433734939759036,9.0,0.0
17,203.0,1.0,225.0,3.0,306.0,1.0,289.0,4.0,184.0,3.0,273.0,1.0,179.0,3.0,235.0,3.0,251.0,3.0,200.0,4.0,0.0963855421686747,9.0,3.0
18,203.0,1.0,225.0,3.0,306.0,1.0,289.0,4.0,184.0,3.0,273.0,1.0,275.0,3.0,235.0,3.0,251.0,3.0,200.0,4.0,0.10843373493975904,9.0,0.0
19,203.0,1.0,225.0,3.0,306.0,1.0,289.0,4.0,307.0,1.0,273.0,1.0,275.0,3.0,235.0,3.0,251.0,3.0,200.0,4.0,0.12048192771084337,12.0,4.0
20,203.0,1.0,225.0,3.0,306.0,1.0,289.0,4.0,307.0,1.0,273.0,1.0,275.0,3.0,235.0,3.0,251.0,3.0,302.0,4.0,0.13253012048192772,12.0,3.0
21,313.0,1.0,225.0,3.0,306.0,1.0,289.0,4.0,307.0,1.0,273.0,1.0,275.0,3.0,235.0,3.0,251.0,3.0,302.0,4.0,0.14457831325301204,12.0,3.0
22,313.0,1.0,348.0,1.0,306.0,1.0,289.0,4.0,307.0,1.0,273.0,1.0,275.0,3.0,235.0,3.0,251.0,3.0,302.0,4.0,0.1566265060240964,12.0,0.0
23,313.0,1.0,348.0,1.0,306.0,1.0,289.0,4.0,307.0,1.0,273.0,1.0,275.0,3.0,358.0,1.0,251.0,3.0,302.0,4.0,0.1686746987951807,14.0,2.0
24,313.0,1.0,348.0,1.0,306.0,1.0,289.0,4.0,307.0,1.0,273.0,1.0,275.0,3.0,358.0,1.0,347.0,3.0,302.0,4.0,0.18072289156626506,14.0,5.0
25,313.0,1.0,348.0,1.0,306.0,1.0,289.0,4.0,307.0,1.0,383.0,1.0,275.0,3.0,358.0,1.0,347.0,3.0,302.0,4.0,0.1927710843373494,14.0,2.0
26,313.0,1.0,348.0,1.0,306.0,1.0,289.0,4.0,307.0,1.0,383.0,1.0,396.0,2.0,358.0,1.0,347.0,3.0,302.0,4.0,0.20481927710843373,14.0,5.0
27,313.0,1.0,348.0,1.0,306.0,1.0,391.0,4.0,307.0,1.0,383.0,1.0,396.0,2.0,358.0,1.0,347.0,3.0,302.0,4.0,0.21686746987951808,15.0,5.0
28,313.0,1.0,348.0,1.0,306.0,1.0,391.0,4.0,307.0,1.0,383.0,1.0,396.0,2.0,358.0,1.0,347.0,3.0,423.0,2.0,0.2289156626506024,15.0,3.0
29,313.0,1.0,348.0,1.0,421.0,3.0,391.0,4.0,307.0,1.0,383.0,1.0,396.0,2.0,358.0,1.0,347.0,3.0,423.0,2.0,0.24096385542168675,15.0,3.0
30,313.0,1.0,348.0,1.0,421.0,3.0,391.0,4.0,433.0,5.0,383.0,1.0,396.0,2.0,358.0,1.0,347.0,3.0,423.0,2.0,0.25301204819277107,15.0,5.0
31,439.0,5.0,348.0,1.0,421.0,3.0,391.0,4.0,433.0,5.0,383.0,1.0,396.0,2.0,358.0,1.0,347.0,3.0,423.0,2.0,0.26506024096385544,19.0,3.0
32,439.0,5.0,348.0,1.0,421.0,3.0,391.0,4.0,433.0,5.0,383.0,1.0,396.0,2.0,358.0,1.0,468.0,2.0,423.0,2.0,0.27710843373493976,19.0,5.0
33,439.0,5.0,474.0,5.0,421.0,3.0,391.0,4.0,433.0,5.0,383.0,1.0,396.0,2.0,358.0,1.0,468.0,2.0,423.0,2.0,0.2891566265060241,19.0,5.0
34,439.0,5.0,474.0,5.0,421.0,3.0,391.0,4.0,433.0,5.0,383.0,1.0,396.0,2.0,473.0,3.0,468.0,2.0,423.0,2.0,0.30120481927710846,22.0,5.0
35,439.0,5.0,474.0,5.0,421.0,3.0,391.0,4.0,433.0,5.0,498.0,3.0,396.0,2.0,473.0,3.0,468.0,2.0,423.0,2.0,0.3132530120481928,22.0,0.0
36,439.0,5.0,474.0,5.0,421.0,3.0,517.0,5.0,433.0,5.0,498.0,3.0,396.0,2.0,473.0,3.0,468.0,2.0,423.0,2.0,0.3253012048192771,22.0,5.0
37,439.0,5.0,474.0,5.0,421.0,3.0,517.0,5.0,433.0,5.0,498.0,3.0,502.0,3.0,473.0,3.0,468.0,2.0,423.0,2.0,0.3373493975903614,25.0,0.0
38,439.0,5.0,474.0,5.0,542.0,4.0,517.0,5.0,433.0,5.0,498.0,3.0,502.0,3.0,473.0,3.0,468.0,2.0,423.0,2.0,0.3493975903614458,25.0,2.0
39,439.0,5.0,474.0,5.0,542.0,4.0,517.0,5.0,433.0,5.0,498.0,3.0,502.0,3.0,473.0,3.0,468.0,2.0,529.0,3.0,0.3614457831325301,25.0,1.0
40,439.0,5.0,474.0,5.0,542.0,4.0,517.0,5.0,543.0,5.0,498.0,3.0,502.0,3.0,473.0,3.0,468.0,2.0,529.0,3.0,0.37349397590361444,26.0,5.0
41,549.0,5.0,474.0,5.0,542.0,4.0,517.0,5.0,543.0,5.0,498.0,3.0,502.0,3.0,473.0,3.0,468.0,2.0,529.0,3.0,0.3855421686746988,27.0,1.0
42,549.0,5.0,474.0,5.0,542.0,4.0,517.0,5.0,543.0,5.0,498.0,3.0,502.0,3.0,473.0,3.0,597.0,1.0,529.0,3.0,0.39759036144578314,27.0,5.0
43,549.0,5.0,474.0,5.0,542.0,4.0,517.0,5.0,543.0,5.0,498.0,3.0,502.0,3.0,596.0,1.0,597.0,1.0,529.0,3.0,0.40963855421686746,27.0,3.0
44,549.0,5.0,586.0,4.0,542.0,4.0,517.0,5.0,543.0,5.0,498.0,3.0,502.0,3.0,596.0,1.0,597.0,1.0,529.0,3.0,0.42168674698795183,30.0,5.0
45,549.0,5.0,586.0,4.0,542.0,4.0,517.0,5.0,543.0,5.0,619.0,4.0,502.0,3.0,596.0,1.0,597.0,1.0,529.0,3.0,0.43373493975903615,30.0,1.0
46,549.0,5.0,586.0,4.0,542.0,4.0,517.0,5.0,543.0,5.0,619.0,4.0,623.0,4.0,596.0,1.0,597.0,1.0,529.0,3.0,0.4457831325301205,30.0,2.0
47,549.0,5.0,586.0,4.0,542.0,4.0,627.0,5.0,543.0,5.0,619.0,4.0,623.0,4.0,596.0,1.0,597.0,1.0,529.0,3.0,0.4578313253012048,32.0,1.0
48,549.0,5.0,586.0,4.0,542.0,4.0,627.0,5.0,543.0,5.0,619.0,4.0,623.0,4.0,596.0,1.0,597.0,1.0,650.0,4.0,0.46987951807228917,32.0,2.0
49,549.0,5.0,586.0,4.0,644.0,4.0,627.0,5.0,543.0,5.0,619.0,4.0,623.0,4.0,596.0,1.0,597.0,1.0,650.0,4.0,0.4819277108433735,32.0,3.0
50,549.0,5.0,586.0,4.0,644.0,4.0,627.0,5.0,655.0,4.0,619.0,4.0,623.0,4.0,596.0,1.0,597.0,1.0,650.0,4.0,0.4939759036144578,33.0,5.0
51,661.0,4.0,586.0,4.0,644.0,4.0,627.0,5.0,655.0,4.0,619.0,4.0,623.0,4.0,596.0,1.0,597.0,1.0,650.0,4.0,0.5060240963855421,35.0,1.0
52,661.0,4.0,701.0,3.0,644.0,4.0,627.0,5.0,655.0,4.0,619.0,4.0,623.0,4.0,596.0,1.0,597.0,1.0,650.0,4.0,0.5180722891566265,35.0,5.0
53,661.0,4.0,701.0,3.0,644.0,4.0,627.0,5.0,655.0,4.0,619.0,4.0,623.0,4.0,706.0,1.0,597.0,1.0,650.0,4.0,0.5301204819277109,35.0,5.0
54,661.0,4.0,701.0,3.0,644.0,4.0,627.0,5.0,655.0,4.0,619.0,4.0,623.0,4.0,706.0,1.0,712.0,3.0,650.0,4.0,0.5421686746987951,37.0,5.0
55,661.0,4.0,701.0,3.0,644.0,4.0,627.0,5.0,655.0,4.0,742.0,1.0,623.0,4.0,706.0,1.0,712.0,3.0,650.0,4.0,0.5542168674698795,37.0,5.0
56,661.0,4.0,701.0,3.0,644.0,4.0,627.0,5.0,655.0,4.0,742.0,1.0,725.0,4.0,706.0,1.0,712.0,3.0,650.0,4.0,0.5662650602409639,37.0,5.0
57,661.0,4.0,701.0,3.0,644.0,4.0,748.0,2.0,655.0,4.0,742.0,1.0,725.0,4.0,706.0,1.0,712.0,3.0,650.0,4.0,0.5783132530120482,38.0,5.0
58,661.0,4.0,701.0,3.0,759.0,3.0,748.0,2.0,655.0,4.0,742.0,1.0,725.0,4.0,706.0,1.0,712.0,3.0,650.0,4.0,0.5903614457831325,39.0,5.0
