,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,80.0,3.0,0.0,0.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,24.0,1.0,79.0,3.0,0.0,0.0,5.0
1,80.0,3.0,0.0,0.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,24.0,1.0,79.0,3.0,0.0,0.0,5.0
2,80.0,3.0,110.0,1.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,24.0,1.0,79.0,3.0,0.0,0.0,2.0
3,80.0,3.0,110.0,1.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,145.0,2.0,79.0,3.0,0.0,0.0,4.0
4,80.0,3.0,110.0,1.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,1.0,4.0
5,80.0,3.0,110.0,1.0,56.0,4.0,143.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,1.0,4.0
6,80.0,3.0,110.0,1.0,56.0,4.0,143.0,3.0,69.0,4.0,163.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,1.0,5.0
7,80.0,3.0,110.0,1.0,158.0,4.0,143.0,3.0,69.0,4.0,163.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,1.0,3.0
8,80.0,3.0,110.0,1.0,158.0,4.0,143.0,3.0,190.0,2.0,163.0,1.0,73.0,2.0,139.0,3.0,145.0,2.0,79.0,3.0,0.0,1.0,5.0
9,80.0,3.0,110.0,1.0,158.0,4.0,143.0,3.0,190.0,2.0,163.0,1.0,202.0,1.0,139.0,3.0,145.0,2.0,79.0,3.0,0.012048192771084338,1.0,2.0
10,80.0,3.0,110.0,1.0,158.0,4.0,143.0,3.0,190.0,2.0,163.0,1.0,202.0,1.0,139.0,3.0,145.0,2.0,200.0,2.0,0.012048192771084338,1.0,2.0
11,176.0,3.0,110.0,1.0,158.0,4.0,143.0,3.0,190.0,2.0,163.0,1.0,202.0,1.0,139.0,3.0,145.0,2.0,200.0,2.0,0.024096385542168676,4.0,4.0
12,176.0,3.0,220.0,1.0,158.0,4.0,143.0,3.0,190.0,2.0,163.0,1.0,202.0,1.0,139.0,3.0,145.0,2.0,200.0,2.0,0.03614457831325301,4.0,4.0
13,176.0,3.0,220.0,1.0,158.0,4.0,143.0,3.0,190.0,2.0,163.0,1.0,202.0,1.0,235.0,3.0,145.0,2.0,200.0,2.0,0.04819277108433735,4.0,4.0
14,176.0,3.0,220.0,1.0,158.0,4.0,239.0,3.0,190.0,2.0,163.0,1.0,202.0,1.0,235.0,3.0,145.0,2.0,200.0,2.0,0.060240963855421686,4.0,4.0
15,176.0,3.0,220.0,1.0,158.0,4.0,239.0,3.0,190.0,2.0,163.0,1.0,202.0,1.0,235.0,3.0,251.0,3.0,200.0,2.0,0.07228915662650602,5.0,2.0
16,176.0,3.0,220.0,1.0,260.0,4.0,239.0,3.0,190.0,2.0,163.0,1.0,202.0,1.0,235.0,3.0,251.0,3.0,200.0,2.0,0.08433734939759036,5.0,4.0
17,176.0,3.0,220.0,1.0,260.0,4.0,239.0,3.0,190.0,2.0,273.0,1.0,202.0,1.0,235.0,3.0,251.0,3.0,200.0,2.0,0.0963855421686747,5.0,4.0
18,299.0,1.0,220.0,1.0,260.0,4.0,239.0,3.0,190.0,2.0,273.0,1.0,202.0,1.0,235.0,3.0,251.0,3.0,200.0,2.0,0.10843373493975904,6.0,2.0
19,299.0,1.0,220.0,1.0,260.0,4.0,239.0,3.0,319.0,1.0,273.0,1.0,202.0,1.0,235.0,3.0,251.0,3.0,200.0,2.0,0.12048192771084337,6.0,4.0
20,299.0,1.0,220.0,1.0,260.0,4.0,239.0,3.0,319.0,1.0,273.0,1.0,202.0,1.0,235.0,3.0,251.0,3.0,329.0,1.0,0.13253012048192772,6.0,4.0
21,299.0,1.0,220.0,1.0,260.0,4.0,239.0,3.0,319.0,1.0,273.0,1.0,312.0,1.0,235.0,3.0,251.0,3.0,329.0,1.0,0.14457831325301204,8.0,4.0
22,299.0,1.0,330.0,1.0,260.0,4.0,239.0,3.0,319.0,1.0,273.0,1.0,312.0,1.0,235.0,3.0,251.0,3.0,329.0,1.0,0.1566265060240964,8.0,0.0
23,299.0,1.0,330.0,1.0,260.0,4.0,239.0,3.0,319.0,1.0,273.0,1.0,312.0,1.0,356.0,4.0,251.0,3.0,329.0,1.0,0.1686746987951807,8.0,4.0
24,299.0,1.0,330.0,1.0,260.0,4.0,335.0,3.0,319.0,1.0,273.0,1.0,312.0,1.0,356.0,4.0,251.0,3.0,329.0,1.0,0.18072289156626506,8.0,4.0
25,299.0,1.0,330.0,1.0,260.0,4.0,335.0,3.0,319.0,1.0,273.0,1.0,312.0,1.0,356.0,4.0,372.0,4.0,329.0,1.0,0.1927710843373494,9.0,2.0
26,299.0,1.0,330.0,1.0,362.0,4.0,335.0,3.0,319.0,1.0,273.0,1.0,312.0,1.0,356.0,4.0,372.0,4.0,329.0,1.0,0.20481927710843373,10.0,0.0
27,299.0,1.0,330.0,1.0,362.0,4.0,335.0,3.0,319.0,1.0,385.0,4.0,312.0,1.0,356.0,4.0,372.0,4.0,329.0,1.0,0.21686746987951808,11.0,2.0
28,409.0,1.0,330.0,1.0,362.0,4.0,335.0,3.0,319.0,1.0,385.0,4.0,312.0,1.0,356.0,4.0,372.0,4.0,329.0,1.0,0.2289156626506024,11.0,2.0
29,409.0,1.0,330.0,1.0,362.0,4.0,335.0,3.0,319.0,1.0,385.0,4.0,424.0,4.0,356.0,4.0,372.0,4.0,329.0,1.0,0.24096385542168675,11.0,2.0
30,409.0,1.0,330.0,1.0,362.0,4.0,335.0,3.0,431.0,4.0,385.0,4.0,424.0,4.0,356.0,4.0,372.0,4.0,329.0,1.0,0.25301204819277107,12.0,2.0
31,409.0,1.0,330.0,1.0,362.0,4.0,335.0,3.0,431.0,4.0,385.0,4.0,424.0,4.0,356.0,4.0,372.0,4.0,441.0,4.0,0.26506024096385544,13.0,2.0
32,409.0,1.0,442.0,4.0,362.0,4.0,335.0,3.0,431.0,4.0,385.0,4.0,424.0,4.0,356.0,4.0,372.0,4.0,441.0,4.0,0.27710843373493976,13.0,2.0
33,409.0,1.0,442.0,4.0,362.0,4.0,464.0,5.0,431.0,4.0,385.0,4.0,424.0,4.0,356.0,4.0,372.0,4.0,441.0,4.0,0.2891566265060241,16.0,4.0
34,409.0,1.0,442.0,4.0,362.0,4.0,464.0,5.0,431.0,4.0,385.0,4.0,424.0,4.0,482.0,5.0,372.0,4.0,441.0,4.0,0.30120481927710846,16.0,3.0
35,409.0,1.0,442.0,4.0,488.0,5.0,464.0,5.0,431.0,4.0,385.0,4.0,424.0,4.0,482.0,5.0,372.0,4.0,441.0,4.0,0.3132530120481928,16.0,4.0
36,409.0,1.0,442.0,4.0,488.0,5.0,464.0,5.0,431.0,4.0,385.0,4.0,424.0,4.0,482.0,5.0,498.0,5.0,441.0,4.0,0.3253012048192771,18.0,2.0
37,409.0,1.0,442.0,4.0,488.0,5.0,464.0,5.0,431.0,4.0,487.0,4.0,424.0,4.0,482.0,5.0,498.0,5.0,441.0,4.0,0.3373493975903614,19.0,2.0
38,535.0,5.0,442.0,4.0,488.0,5.0,464.0,5.0,431.0,4.0,487.0,4.0,424.0,4.0,482.0,5.0,498.0,5.0,441.0,4.0,0.3493975903614458,19.0,2.0
39,535.0,5.0,442.0,4.0,488.0,5.0,464.0,5.0,431.0,4.0,487.0,4.0,550.0,5.0,482.0,5.0,498.0,5.0,441.0,4.0,0.3614457831325301,20.0,1.0
40,535.0,5.0,442.0,4.0,488.0,5.0,464.0,5.0,546.0,3.0,487.0,4.0,550.0,5.0,482.0,5.0,498.0,5.0,441.0,4.0,0.37349397590361444,21.0,4.0
41,535.0,5.0,442.0,4.0,488.0,5.0,464.0,5.0,546.0,3.0,487.0,4.0,550.0,5.0,482.0,5.0,498.0,5.0,543.0,4.0,0.3855421686746988,21.0,4.0
42,535.0,5.0,544.0,4.0,488.0,5.0,464.0,5.0,546.0,3.0,487.0,4.0,550.0,5.0,482.0,5.0,498.0,5.0,543.0,4.0,0.39759036144578314,22.0,5.0
43,535.0,5.0,544.0,4.0,488.0,5.0,576.0,4.0,546.0,3.0,487.0,4.0,550.0,5.0,482.0,5.0,498.0,5.0,543.0,4.0,0.40963855421686746,23.0,3.0
44,535.0,5.0,544.0,4.0,488.0,5.0,576.0,4.0,546.0,3.0,487.0,4.0,550.0,5.0,597.0,3.0,498.0,5.0,543.0,4.0,0.42168674698795183,23.0,4.0
45,535.0,5.0,544.0,4.0,488.0,5.0,576.0,4.0,546.0,3.0,610.0,1.0,550.0,5.0,597.0,3.0,498.0,5.0,543.0,4.0,0.43373493975903615,23.0,2.0
46,535.0,5.0,544.0,4.0,609.0,2.0,576.0,4.0,546.0,3.0,610.0,1.0,550.0,5.0,597.0,3.0,498.0,5.0,543.0,4.0,0.4457831325301205,23.0,2.0
47,535.0,5.0,544.0,4.0,609.0,2.0,576.0,4.0,546.0,3.0,610.0,1.0,550.0,5.0,597.0,3.0,619.0,2.0,543.0,4.0,0.4578313253012048,27.0,2.0
48,650.0,3.0,544.0,4.0,609.0,2.0,576.0,4.0,546.0,3.0,610.0,1.0,550.0,5.0,597.0,3.0,619.0,2.0,543.0,4.0,0.46987951807228917,27.0,1.0
49,650.0,3.0,544.0,4.0,609.0,2.0,576.0,4.0,546.0,3.0,610.0,1.0,550.0,5.0,597.0,3.0,619.0,2.0,645.0,4.0,0.4819277108433735,27.0,2.0
50,650.0,3.0,646.0,4.0,609.0,2.0,576.0,4.0,546.0,3.0,610.0,1.0,550.0,5.0,597.0,3.0,619.0,2.0,645.0,4.0,0.4939759036144578,27.0,2.0
51,650.0,3.0,646.0,4.0,609.0,2.0,576.0,4.0,642.0,3.0,610.0,1.0,550.0,5.0,597.0,3.0,619.0,2.0,645.0,4.0,0.5060240963855421,27.0,2.0
52,650.0,3.0,646.0,4.0,609.0,2.0,576.0,4.0,642.0,3.0,610.0,1.0,660.0,5.0,597.0,3.0,619.0,2.0,645.0,4.0,0.5180722891566265,28.0,2.0
53,650.0,3.0,646.0,4.0,609.0,2.0,697.0,2.0,642.0,3.0,610.0,1.0,660.0,5.0,597.0,3.0,619.0,2.0,645.0,4.0,0.5301204819277109,29.0,4.0
54,650.0,3.0,646.0,4.0,609.0,2.0,697.0,2.0,642.0,3.0,610.0,1.0,660.0,5.0,693.0,3.0,619.0,2.0,645.0,4.0,0.5421686746987951,29.0,1.0
55,650.0,3.0,646.0,4.0,715.0,3.0,697.0,2.0,642.0,3.0,610.0,1.0,660.0,5.0,693.0,3.0,619.0,2.0,645.0,4.0,0.5542168674698795,29.0,2.0
56,650.0,3.0,646.0,4.0,715.0,3.0,697.0,2.0,642.0,3.0,720.0,1.0,660.0,5.0,693.0,3.0,619.0,2.0,645.0,4.0,0.5662650602409639,29.0,2.0
57,650.0,3.0,646.0,4.0,715.0,3.0,697.0,2.0,642.0,3.0,720.0,1.0,660.0,5.0,693.0,3.0,740.0,4.0,645.0,4.0,0.5783132530120482,31.0,2.0
58,650.0,3.0,646.0,4.0,715.0,3.0,697.0,2.0,763.0,4.0,720.0,1.0,660.0,5.0,693.0,3.0,740.0,4.0,645.0,4.0,0.5903614457831325,31.0,2.0
