,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,80.0,3.0,0.0,0.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,24.0,1.0,79.0,3.0,0.0,0.0,3.0
1,80.0,3.0,0.0,0.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,24.0,1.0,79.0,3.0,0.0,0.0,1.0
2,80.0,3.0,110.0,1.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,24.0,1.0,79.0,3.0,0.0,0.0,3.0
3,80.0,3.0,110.0,1.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,43.0,3.0,134.0,1.0,79.0,3.0,0.0,0.0,1.0
4,80.0,3.0,110.0,1.0,56.0,4.0,47.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,166.0,1.0,134.0,1.0,79.0,3.0,0.0,0.0,4.0
5,80.0,3.0,110.0,1.0,56.0,4.0,143.0,3.0,69.0,4.0,53.0,1.0,73.0,2.0,166.0,1.0,134.0,1.0,79.0,3.0,0.0,0.0,5.0
6,80.0,3.0,110.0,1.0,56.0,4.0,143.0,3.0,69.0,4.0,163.0,1.0,73.0,2.0,166.0,1.0,134.0,1.0,79.0,3.0,0.0,0.0,4.0
7,80.0,3.0,110.0,1.0,177.0,2.0,143.0,3.0,69.0,4.0,163.0,1.0,73.0,2.0,166.0,1.0,134.0,1.0,79.0,3.0,0.0,1.0,4.0
8,80.0,3.0,110.0,1.0,177.0,2.0,143.0,3.0,171.0,4.0,163.0,1.0,73.0,2.0,166.0,1.0,134.0,1.0,79.0,3.0,0.0,1.0,5.0
9,80.0,3.0,110.0,1.0,177.0,2.0,143.0,3.0,171.0,4.0,163.0,1.0,175.0,2.0,166.0,1.0,134.0,1.0,79.0,3.0,0.012048192771084338,2.0,5.0
10,80.0,3.0,110.0,1.0,177.0,2.0,143.0,3.0,171.0,4.0,163.0,1.0,175.0,2.0,166.0,1.0,134.0,1.0,200.0,2.0,0.012048192771084338,2.0,4.0
11,201.0,4.0,110.0,1.0,177.0,2.0,143.0,3.0,171.0,4.0,163.0,1.0,175.0,2.0,166.0,1.0,134.0,1.0,200.0,2.0,0.024096385542168676,4.0,1.0
12,201.0,4.0,220.0,1.0,177.0,2.0,143.0,3.0,171.0,4.0,163.0,1.0,175.0,2.0,166.0,1.0,134.0,1.0,200.0,2.0,0.03614457831325301,4.0,0.0
13,201.0,4.0,220.0,1.0,177.0,2.0,143.0,3.0,171.0,4.0,163.0,1.0,175.0,2.0,166.0,1.0,244.0,1.0,200.0,2.0,0.04819277108433735,4.0,5.0
14,201.0,4.0,220.0,1.0,177.0,2.0,239.0,3.0,171.0,4.0,163.0,1.0,175.0,2.0,166.0,1.0,244.0,1.0,200.0,2.0,0.060240963855421686,4.0,0.0
15,201.0,4.0,220.0,1.0,177.0,2.0,239.0,3.0,171.0,4.0,278.0,3.0,175.0,2.0,166.0,1.0,244.0,1.0,200.0,2.0,0.07228915662650602,4.0,2.0
16,201.0,4.0,220.0,1.0,177.0,2.0,239.0,3.0,171.0,4.0,278.0,3.0,175.0,2.0,276.0,1.0,244.0,1.0,200.0,2.0,0.08433734939759036,4.0,4.0
17,201.0,4.0,220.0,1.0,177.0,2.0,239.0,3.0,273.0,4.0,278.0,3.0,175.0,2.0,276.0,1.0,244.0,1.0,200.0,2.0,0.0963855421686747,4.0,4.0
18,201.0,4.0,220.0,1.0,177.0,2.0,239.0,3.0,273.0,4.0,278.0,3.0,281.0,3.0,276.0,1.0,244.0,1.0,200.0,2.0,0.10843373493975904,4.0,1.0
19,201.0,4.0,220.0,1.0,283.0,3.0,239.0,3.0,273.0,4.0,278.0,3.0,281.0,3.0,276.0,1.0,244.0,1.0,200.0,2.0,0.12048192771084337,7.0,1.0
20,201.0,4.0,220.0,1.0,283.0,3.0,239.0,3.0,273.0,4.0,278.0,3.0,281.0,3.0,276.0,1.0,244.0,1.0,302.0,2.0,0.13253012048192772,7.0,3.0
21,303.0,4.0,220.0,1.0,283.0,3.0,239.0,3.0,273.0,4.0,278.0,3.0,281.0,3.0,276.0,1.0,244.0,1.0,302.0,2.0,0.14457831325301204,7.0,1.0
22,303.0,4.0,330.0,1.0,283.0,3.0,239.0,3.0,273.0,4.0,278.0,3.0,281.0,3.0,276.0,1.0,244.0,1.0,302.0,2.0,0.1566265060240964,7.0,5.0
23,303.0,4.0,330.0,1.0,283.0,3.0,335.0,3.0,273.0,4.0,278.0,3.0,281.0,3.0,276.0,1.0,244.0,1.0,302.0,2.0,0.1686746987951807,7.0,2.0
24,303.0,4.0,330.0,1.0,283.0,3.0,335.0,3.0,273.0,4.0,278.0,3.0,281.0,3.0,276.0,1.0,365.0,2.0,302.0,2.0,0.18072289156626506,8.0,0.0
